,Player,Team
0,Aramis Nin Ramirez,Pittsburgh Pirates
1,Alexei Fernando Ramirez,Tampa Bay Rays
2,Jose Miguel Cabrera,Detroit Tigers
3,José Dariel Abreu,Chicago White Sox
4,José Antonio Bautista,Toronto Blue Jays
5,Robinson Jose Canó,Seattle Mariners
6,Starlin DeJesus Castro,Miami Marlins
7,Yoenis Céspedes,New York Mets
8,Nelson Ramon Cruz,Seattle Mariners
9,Carlos Argelis Gómez,Tampa Bay Rays
10,Miguel Angel Montero,Washington Nationals
11,Salvador Johan Perez,Kansas City Royals
12,Yasiel Puig,Los Angeles Dodgers
13,José Carlos Altuve,Houston Astros
14,Erick Johan Aybar,Minnesota Twins
15,Adrian Beltre,Texas Rangers
